# LRT-1
GL

# Stations
Dr. Santos,Ninoy Aquino Avenue,PITX,MIA Road,Redemptorist–Aseana,Baclaran,EDSA,Libertad,Gil Puyat,Vito Cruz,Quirino,Pedro Gil,United Nations,Central Terminal,Carriedo,Doroteo Jose,Bambang,Tayuman,Blumentritt,Abad Santos,R. Papa,5th Avenue,Monumento,Balintawak,Fernando Poe Jr.

# Fare Matrix (SVC)
0,19,20,22,23,26,27,28,29,31,32,33,34,36,37,38,39,40,41,42,43,45,46,49,52
19,0,18,20,21,23,24,26,27,28,29,31,32,33,35,36,36,37,38,40,41,42,44,47,50
20,18,0,18,19,22,22,24,25,27,28,29,30,32,33,34,35,36,37,38,39,40,42,45,48
22,20,18,0,17,20,20,22,23,25,26,27,28,30,31,32,33,34,35,36,37,38,40,43,46
23,21,19,17,0,18,19,21,22,23,25,26,27,29,30,31,32,33,34,35,36,37,39,42,45
26,23,22,20,18,0,17,19,20,21,22,24,25,27,28,29,30,30,31,33,34,35,37,40,43
27,24,22,20,19,17,0,18,19,20,22,23,24,26,27,28,29,30,31,32,33,34,36,39,42
28,26,24,22,21,19,18,0,17,19,20,21,22,24,25,26,27,28,29,30,31,33,34,38,40
29,27,25,23,22,20,19,17,0,18,19,20,21,23,24,25,26,27,28,29,30,32,33,37,39
31,28,27,25,23,21,20,19,18,0,17,19,20,22,23,24,25,25,26,28,29,30,32,35,38
32,29,28,26,25,22,22,20,19,17,0,17,19,20,21,22,23,24,25,27,28,29,31,34,37
33,31,29,27,26,24,23,21,20,19,17,0,17,19,20,21,22,23,24,25,26,28,29,33,35
34,32,30,28,27,25,24,22,21,20,19,17,0,18,19,20,21,22,23,24,25,27,28,32,34
36,33,32,30,29,27,26,24,23,22,20,19,18,0,17,18,19,20,21,23,23,25,27,30,33
37,35,33,31,30,28,27,25,24,23,21,20,19,17,0,17,18,19,20,21,22,24,25,29,31
38,36,34,32,31,29,28,26,25,24,22,21,20,18,17,0,17,18,19,20,21,23,24,28,30
39,36,35,33,32,30,29,27,26,25,23,22,21,19,18,17,0,17,18,20,20,22,23,27,30
40,37,36,34,33,30,30,28,27,25,24,23,22,20,19,18,17,0,17,19,20,21,23,26,29
41,38,37,35,34,31,31,29,28,26,25,24,23,21,20,19,18,17,0,18,19,20,22,25,28
42,40,38,36,35,33,32,30,29,28,27,25,24,23,21,20,20,19,18,0,17,19,20,24,26
43,41,39,37,36,34,33,31,30,29,28,26,25,23,22,21,20,20,19,17,0,18,19,23,25
45,42,40,38,37,35,34,33,32,30,29,28,27,25,24,23,22,21,20,19,18,0,18,21,24
46,44,42,40,39,37,36,34,33,32,31,29,28,27,25,24,23,23,22,20,19,18,0,20,22
49,47,45,43,42,40,39,38,37,35,34,33,32,30,29,28,27,26,25,24,23,21,20,0,19
52,50,48,46,45,43,42,40,39,38,37,35,34,33,31,30,30,29,28,26,25,24,22,19,0

# Fare Matrix (SJT)
0,20,20,25,25,30,30,30,30,35,35,35,35,40,40,40,40,40,45,45,45,45,50,50,55
20,0,20,20,25,25,25,30,30,30,30,35,35,35,35,40,40,40,40,40,45,45,45,50,50
20,20,0,20,20,25,25,25,25,30,30,30,30,35,35,35,35,40,40,40,40,40,45,45,50
25,20,20,0,20,20,20,25,25,25,30,30,30,30,35,35,35,35,35,40,40,40,40,45,50
25,25,20,20,0,20,20,25,25,25,25,30,30,30,30,35,35,35,35,35,40,40,40,45,45
30,25,25,20,20,0,20,20,20,25,25,25,25,30,30,30,30,30,35,35,35,35,40,40,45
30,25,25,20,20,20,0,20,20,20,25,25,25,30,30,30,30,30,35,35,35,35,40,40,45
30,30,25,25,25,20,20,0,20,20,20,25,25,25,25,30,30,30,30,30,35,35,35,40,40
30,30,25,25,25,20,20,20,0,20,20,20,25,25,25,25,30,30,30,30,30,35,35,40,40
35,30,30,25,25,25,20,20,20,0,20,20,20,25,25,25,25,25,30,30,30,30,35,35,40
35,30,30,30,25,25,25,20,20,20,0,20,20,20,25,25,25,25,25,30,30,30,35,35,40
35,35,30,30,30,25,25,25,20,20,20,0,20,20,20,25,25,25,25,25,30,30,30,35,35
35,35,30,30,30,25,25,25,25,20,20,20,0,20,20,20,25,25,25,25,25,30,30,35,35
40,35,35,30,30,30,30,25,25,25,20,20,20,0,20,20,20,20,25,25,25,25,30,30,35
40,35,35,35,30,30,30,25,25,25,25,20,20,20,0,20,20,20,20,25,25,25,25,30,35
40,40,35,35,35,30,30,30,25,25,25,25,20,20,20,0,20,20,20,20,25,25,25,30,30
40,40,35,35,35,30,30,30,30,25,25,25,25,20,20,20,0,20,20,20,20,25,25,30,30
40,40,40,35,35,30,30,30,30,25,25,25,25,20,20,20,20,0,20,20,20,25,25,30,30
45,40,40,35,35,35,35,30,30,30,25,25,25,25,20,20,20,20,0,20,20,20,25,25,30
45,40,40,40,35,35,35,30,30,30,30,25,25,25,25,20,20,20,20,0,20,20,20,25,30
45,45,40,40,40,35,35,35,30,30,30,30,25,25,25,25,20,20,20,20,0,20,20,25,25
45,45,40,40,40,35,35,35,35,30,30,30,30,25,25,25,25,25,20,20,20,0,20,25,25
50,45,45,40,40,40,40,35,35,35,35,30,30,30,25,25,25,25,25,20,20,20,0,20,25
50,50,45,45,45,40,40,40,40,35,35,35,35,30,30,30,30,30,25,25,25,25,20,0,20
55,50,50,50,45,45,45,40,40,40,40,35,35,35,35,30,30,30,30,30,25,25,25,20,0
