# LRT-2
PL

# Stations
Recto,Legarda,Pureza,V. Mapa,J. Ruiz,Gilmore,Betty Go-Belmonte,Cubao,Anonas,Katipunan,Santolan,Marikina,Antipolo

# Fare Matrix (SVC)
0,15,16,18,19,21,22,23,25,26,28,31,33
15,0,15,17,18,19,21,22,24,25,27,29,32
16,15,0,15,16,18,19,20,22,23,26,28,30
18,17,15,0,15,16,17,19,20,22,24,26,29
19,18,16,15,0,14,16,17,19,20,22,24,27
21,19,18,16,14,0,15,16,18,19,21,23,26
22,21,19,17,16,15,0,15,16,18,20,22,25
23,22,20,19,17,16,15,0,15,16,19,21,23
25,24,22,20,19,18,16,15,0,14,17,19,22
26,25,23,22,20,19,18,16,14,0,16,18,21
28,27,26,24,22,21,20,19,17,16,0,15,18
31,29,28,26,24,23,22,21,19,18,15,0,16
33,32,30,29,27,26,25,23,22,21,18,16,0

# Fare Matrix (SJT)
0,15,20,20,20,25,25,25,25,30,30,35,35
15,0,15,20,20,20,25,25,25,25,30,30,35
20,15,0,15,20,20,20,20,25,25,30,30,30
20,20,15,0,15,20,20,20,20,25,25,30,30
20,20,20,15,0,15,20,20,20,20,25,25,30
25,20,20,20,15,0,15,20,20,20,25,25,30
25,25,20,20,20,15,0,15,20,20,20,25,25
25,25,20,20,20,20,15,0,15,20,20,25,25
25,25,25,20,20,20,20,15,0,15,20,20,25
30,25,25,25,20,20,20,20,15,0,20,20,25
30,30,30,25,25,25,20,20,20,20,0,15,20
35,30,30,30,25,25,25,25,20,20,15,0,20
35,35,30,30,30,30,25,25,25,25,20,20,0
