# MRT-3
YL

# Stations
North Avenue,Quezon Avenue,GMA–Kamuning,Araneta–Cubao,Santolan–Annapolis,Ortigas,Shaw Boulevard,Boni,Guadalupe,Buendia,Ayala,Magallanes,Taft Avenue

# Fare Matrix (SVC)
0,13,13,16,16,20,20,20,24,24,24,28,28
13,0,13,13,16,16,20,20,20,24,24,24,28
13,13,0,13,13,16,16,20,20,20,24,24,24
16,13,13,0,13,13,16,16,20,20,20,24,24
16,16,13,13,0,13,13,16,16,20,20,20,24
20,16,16,13,13,0,13,13,16,16,20,20,20
20,20,16,16,13,13,0,13,13,16,16,20,20
20,20,20,16,16,13,13,0,13,13,16,16,20
24,20,20,20,16,16,13,13,0,13,13,16,16
24,24,20,20,20,16,16,13,13,0,13,13,16
24,24,24,20,20,20,16,16,13,13,0,13,13
28,24,24,24,20,20,20,16,16,13,13,0,13
28,28,24,24,24,20,20,20,16,16,13,13,0

# Fare Matrix (SJT)
0,13,13,16,16,20,20,20,24,24,24,28,28
13,0,13,13,16,16,20,20,20,24,24,24,28
13,13,0,13,13,16,16,20,20,20,24,24,24
16,13,13,0,13,13,16,16,20,20,20,24,24
16,16,13,13,0,13,13,16,16,20,20,20,24
20,16,16,13,13,0,13,13,16,16,20,20,20
20,20,16,16,13,13,0,13,13,16,16,20,20
20,20,20,16,16,13,13,0,13,13,16,16,20
24,20,20,20,16,16,13,13,0,13,13,16,16
24,24,20,20,20,16,16,13,13,0,13,13,16
24,24,24,20,20,20,16,16,13,13,0,13,13
28,24,24,24,20,20,20,16,16,13,13,0,13
28,28,24,24,24,20,20,20,16,16,13,13,0
